theme,zip,cls,eligible,reason,n_text,legacy,C,Q,AB,chain
Route_I,SST_Route_I_relative_entropy_PoC_v0.0.3.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,11,1,10,0,43,41
Route_I,SST_Route_I_relative_entropy_PoC_v0.0.4.zip,X,False,uses legacy reference normalization (11 hits) -> gate 1 fails,22,11,371,1,596,826
Route_I,SST_Route_I_relative_entropy_PoC_v0.0.5.zip,X,False,uses legacy reference normalization (17 hits) -> gate 1 fails,40,17,562,2,903,1103
Route_I,SST_Route_I_relative_entropy_PoC_v0.0.6.zip,A/B,False,no absolute dimensionful or action-scale observable found,20,0,0,0,24,4
Route_I,SST_Route_I_relative_entropy_PoC_v0.0.7.zip,X,False,uses legacy reference normalization (6 hits) -> gate 1 fails,22,6,195,1,458,382
Route_I,SST_Route_I_relative_entropy_PoC_v0.0.8 (1).zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,17,1,49,4,130,77
Route_I,SST_Route_I_relative_entropy_PoC_v0.0.8.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,17,1,49,4,130,77
Route_I,SST_Route_I_relative_entropy_PoC_v0.1.0.zip,X,False,uses legacy reference normalization (6 hits) -> gate 1 fails,19,6,190,1,388,351
RouteB_BEM,BEM_v1_to_v19_scale_role_correction_patch_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,4,0,0,0,6,10
RouteB_BEM,BEMv18_extended_local_scan_knotplot_package.zip,C,True,"absolute observable present (C=3, Q=0) [WARN: heavy calibrated-chain dependence]",14,0,3,0,10,16
RouteB_BEM,BEMv18_extended_local_scan_package.zip,C,True,"absolute observable present (C=4, Q=0) [WARN: heavy calibrated-chain dependence]",16,0,4,0,10,18
RouteB_BEM,BEMv19_link_geometry_parser_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,13,0,0,0,8,1
RouteB_BEM,README_routeB_RT_bem_v4_zeta_falsifier.zip,A/B,False,dominated by dimensionless observables (AB=224 vs CQ=8),62,0,8,0,224,494
RouteB_BEM,routeB_BEMv14_extensive_multigrid_suite.zip,A/B,False,dominated by dimensionless observables (AB=7 vs CQ=1),12,0,1,0,7,20
RouteB_BEM,routeB_induced_mode_count_trial_bundle.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,5,1,0,0,5,8
RouteB_BEM,routeB_RT_bem_v10_normalizer_convergence_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,9,0,0,0,7,26
RouteB_BEM,routeB_RT_bem_v11_length_provenance_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,7,0,0,0,0,13
RouteB_BEM,routeB_RT_bem_v12_fourier_convention_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,8,0,0,0,0,4
RouteB_BEM,routeB_RT_bem_v13_certified_length_budget_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,8,0,0,0,7,15
RouteB_BEM,routeB_RT_bem_v14_multirun_grids_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,31,0,0,0,0,27
RouteB_BEM,routeB_RT_bem_v15_normalizer_law_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,11,0,0,0,5,11
RouteB_BEM,routeB_RT_bem_v16_heat_kernel_normalizer_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,10,0,0,0,9,16
RouteB_BEM,routeB_RT_bem_v17_principal_symbol_heat_kernel_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,10,0,0,0,8,12
RouteB_BEM,routeB_RT_bem_v18_multiknot_exponent_test_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,98,0,0,0,1,38
RouteB_BEM,routeB_RT_bem_v3_1_sstcore_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,6,0,0,0,0,8
RouteB_BEM,routeB_RT_bem_v3_2_idealxml_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,6,0,0,0,0,6
RouteB_BEM,routeB_RT_bem_v3_3_idealxml_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,10,0,0,0,0,7
RouteB_BEM,routeB_RT_bem_v4_zeta_package.zip,C,True,"absolute observable present (C=2, Q=0) [WARN: heavy calibrated-chain dependence]",8,0,2,0,0,24
RouteB_BEM,routeB_RT_bem_v5_soft_hk_package.zip,C,True,"absolute observable present (C=1, Q=0) [WARN: heavy calibrated-chain dependence]",10,0,1,0,0,29
RouteB_BEM,routeB_RT_bem_v6_convergence_grid_package.zip,C,True,"absolute observable present (C=1, Q=0) [WARN: heavy calibrated-chain dependence]",37,0,1,0,0,46
RouteB_BEM,routeB_RT_bem_v7_spectral_length_budget_package.zip,C,True,"absolute observable present (C=1, Q=0) [WARN: heavy calibrated-chain dependence]",9,0,1,0,0,35
