time_hat,a2_re,a2_im,a3_re,a3_im,a4_re,a4_im,a5_re,a5_im,a6_re,a6_im,a7_re,a7_im
0.456,-0.0010599433861463324,-0.005113059743695732,-0.005951786679965092,0.0009610254819845415,-0.001530467161567589,0.005695335504961881,-0.00040919358349014376,2.640203289351931e-05,-0.00021428686661012757,-5.3869272030445704e-05,0.0004281925917364525,0.0059139890353518635
0.462,-0.0012917831268812088,-0.005051009369376825,-0.005865379508746549,0.0013603388813257916,-0.0009384270336921558,0.005809285388020895,-0.00040080944647855055,8.607531497304777e-05,-0.0002195099865869442,-2.4644822851068414e-05,0.0013768220364511546,0.005756580434601158
0.468,-0.001521353864770327,-0.004979934819031161,-0.005752254564852056,0.0017517485412547901,-0.0003361349582219023,0.005860392927969808,-0.0003837635048438055,0.00014404309201978502,-0.00022061736755671205,5.273096217920867e-06,0.002285081849821659,0.005442879641744838
0.47400000000000003,-0.0017481887265367471,-0.0048998702331089425,-0.005613244992445992,0.0021337874200129327,0.00026971358539546494,0.005847654500839394,-0.0003583608773446475,0.0001990408440938257,-0.00021750473433974774,3.531263248896378e-05,0.0031272568551618425,0.004981914789498138
0.48,-0.001971798192798793,-0.004810890966583843,-0.005449199137823015,0.002505049999440851,0.0008722982513008871,0.00577082163582679,-0.0003250927539550832,0.0002498562681637537,-0.00021014950624072205,6.488322146772237e-05,0.003879537750266634,0.004386882733776113
0.486,-0.0021916795523603014,-0.0047131213620483165,-0.0052609836335018355,0.0028641725149278477,0.0014647657880404602,0.005630421000273367,-0.00028462754418144207,0.0002953571624411796,-0.0001986143848348779,9.338737374419348e-05,0.00452069564953031,0.0036747661258431756
0.492,-0.0024073284441263445,-0.004606739387031205,-0.005049492536319299,0.003209817480881371,0.002040325989551251,0.005427760955394803,-0.00023779764095831798,0.00033451781530922746,-0.00018304914592506268,0.00012023323966071356,0.005032680926623605,0.002865842936520916
0.498,-0.002618251371526605,-0.004491977624471772,-0.004815660692705804,0.003540663956713459,0.0025923490638836014,0.005164923763872101,-0.0001855820807396232,0.0003664431221089208,-0.00016369045587972023,0.00014484766521479214,0.0054011292208857725,0.001983103120072111
0.504,-0.002823977978998206,-0.004369120510257071,-0.00456047919933914,0.0038554043325457832,0.003114461628952937,0.004844743199819876,-0.00012908555374145257,0.00039038971875258663,-0.00014085958625605614,0.00016668940118413434,0.005615760346512288,0.0010515898323604
0.51,-0.0030240719262729166,-0.004238498122343304,-0.0042850107449246815,0.004152747695726949,0.0036006385491852743,0.004470768036154396,-6.95143677152027e-05,0.0004057835380422638,-0.00011495797165486318,0.00018526208950388418,0.0056706591784320875,9.76847671414991e-05
0.516,-0.00321813937577675,-0.004100477192983807,-0.0039904027643239,0.004431429142205425,0.004045288063795478,0.004047212578650485,-8.150075947250396e-06,0.0004122333510205207,-8.64606387448476e-05,0.000200126633298828,0.005564431254801155,-0.000851641345544389
0.522,-0.003405834397058933,-0.003955450296028673,-0.0036778966912821374,0.004690223792908331,0.004443328101193308,0.003578895995465633,5.367846640402698e-05,0.00040954003311506485,-5.5907621222639524e-05,0.00021091256365860303,0.005300229680269976,-0.0017695912802499956
0.528,-0.0035868609527197966,-0.003803824323696219,-0.003348832119362586,0.004927963827339705,0.004790252267248958,0.003071172586457934,0.00011462385698314287,0.00039770147134365473,-2.389355697218678e-05,0.00021732804743119735,0.004885653771249146,-0.002630295080541017
0.534,-0.0037609715178270504,-0.0036460093953050595,-0.0030046453120799047,0.005143556600484076,0.0050821846573082755,0.0025298553066772644,0.00017334900510508416,0.0003769131834182053,8.94426849444227e-06,0.00021916823229272135,0.00433252359322,-0.0034095339166219586
0.54,-0.003927962752210006,-0.003482409234579646,-0.0026468621698517384,0.0053360018876164395,0.005315923282491511,0.00196113479657495,0.0002285554775857235,0.00034756483621055444,4.193911996208709e-05,0.00021632169133064053,0.003656537960922382,-0.004085414215764899
0.546,-0.004087668948942866,-0.0033134138288829027,-0.002277086386694144,0.005504406501165515,0.005488972434969145,0.0013714959078961527,0.00027901082001469195,0.0003102329216580365,7.440891304558422e-05,0.00020877480096120286,0.0028768265003721663,-0.004638974070150753
0.552,-0.004239954188325404,-0.0031393948733990057,-0.0018969840429374138,0.005647994914275003,0.00559956467967283,0.0007676333104375111,0.00032357444323058486,0.0002656698740632552,0.00010567087252294494,0.00019661395497178708,0.002015408945636601,-0.005054706142321625
0.558,-0.004384704213093522,-0.0029607041458394757,-0.0015082662261091673,0.005766115054395913,0.005646673317520562,0.00015636730302225023,0.0003612217443280635,0.00021478990377736323,0.00013505641325348063,0.0001800255774224717,0.001096576945115462,-0.005320983773296458
0.5640000000000001,-0.00452181900076637,-0.0027776745972294585,-0.0011126714173289843,0.005858239028884703,0.0056300161206470105,-0.00045543947965262965,0.00039106617868708534,0.00015865179446644196,0.00016192592713518746,0.00015929394461028037,0.00014621529959992218,-0.00543037965054592
0.5700000000000001,-0.004651206851581367,-0.0025906236254193667,-0.0007119493182857302,0.005923959139022709,0.005550050931969521,-0.0010609640956715178,0.00041237901202332574,9.843888286114504e-05,0.00018568318056281586,0.00013479686127876864,-0.0008089192128099649,-0.005379869140651501
0.5760000000000001,-0.004772780557878029,-0.0023998577578235904,-0.0003078475437826241,0.005962980059376384,0.005407963416707745,-0.0016535038506856857,0.00042460646548273407,3.543642765415104e-05,0.00020578904477842105,0.00010699926178632459,-0.0017419424077833956,-0.00517091319632668
0.582,-0.004886455906466279,-0.0022056778359159997,9.789779099819098e-05,0.005975108450040538,0.005205646935316582,-0.002226555142656049,0.00042738393503548126,-2.899341054996463e-05,0.00022177429334050173,7.644482795512888e-05,-0.002626591121432551,-0.004809418599925982
0.588,-0.004992152429648342,-0.0020083837804073645,0.0005035670438669141,0.005960241494881097,0.004945674259746237,-0.0027738901614867443,0.0004205469347812645,-9.343870942838967e-05,0.00023325120655276108,4.374573706877947e-05,-0.003437955759706255,-0.0043055762124175655
0.594,-0.0050897960053144274,-0.0018082781223387825,0.0009074575453713112,0.005918355908371151,0.004631260748003705,-0.0032896306847605885,0.00040413839768715844,-0.00015646670137714198,0.00023992372465822336,9.570680192858179e-06,-0.004153177396606802,-0.003673580864730173
0.6,-0.00517932265110465,-0.0016056676966507552,0.0013078800678605971,0.005849498839268398,0.004266218669322663,-0.0037683178341377664,0.0003784119784314491,-0.00021665402876096403,0.0002415958942592845,-2.5368675083914122e-05,-0.004752090403760711,-0.0029312395473435793
0.606,-0.005260682693736304,-0.0014008631835733922,0.0017031521035520945,0.005753781852171528,0.0038549026437944504,-0.004204976311188424,0.00034383104730637817,-0.00027261780191459143,0.00023817836055869132,-6.033256231833357e-05,-0.005217792607978577,-0.0020994775843348806
0.612,-0.005333844442751574,-0.0011941765124683225,0.0020915890773041254,0.005631378830400894,0.003402146600668092,-0.004595171397670976,0.0003010631410184422,-0.0003230468337847737,0.00022969267564493159,-9.456907313236439e-05,-0.0055371265031437635,-0.0012017554445091804
0.618,-0.005398796564972284,-0.0009859164704652777,0.0024714947835694154,0.0054825282615176925,0.0029131932121633252,-0.00493505694836358,0.00025096973970865476,-0.00036673235475452647,0.00021627322258921367,-0.00012733088504166294,-0.005701057125547895,-0.0002634116354649543
0.624,-0.00545554853401096,-0.0007763831421822086,0.002841152383794249,0.005307539981794914,0.002393617346052011,-0.005221412762266029,0.0001945913602351421,-0.0004025974672489707,0.00019816659713793204,-0.0001578924077319209,-0.005704934839152983,0.0006890503872691394
0.63,-0.005504128796485789,-0.0005658620097307507,0.0031988172476515447,0.005106806099944257,0.0018492456123962728,-0.005451670094869189,0.00013312808369142937,-0.00042972458385621737,0.00017572834210819387,-0.00018556695811529226,-0.005548634425307597,0.0016287113271304346
0.636,-0.005544580619757933,-0.0003546186364162638,0.003542712792112797,0.004880815512710129,0.0012860744737901,-0.005623924640726578,6.791576204778272e-05,-0.0004473801023398647,0.00014941699188768644,-0.00020972354701414338,-0.005236565439114573,0.002528999745989708
